[2024-05-31 00:23:06,553: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:23:32,813: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:23:32,813: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:23:32,815: INFO: app]: ID card type selected: PAN
[2024-05-31 00:23:32,816: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:23:35,829: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:23:35,829: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:23:35,831: INFO: app]: ID card type selected: PAN
[2024-05-31 00:23:35,831: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:23:41,147: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:23:41,147: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:23:41,149: INFO: app]: ID card type selected: PAN
[2024-05-31 00:23:41,149: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:23:41,150: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-05-31 00:23:41,151: INFO: app]: Face image loaded.
[2024-05-31 00:23:41,151: ERROR: app]: No face image uploaded.
[2024-05-31 00:27:46,584: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:27:46,584: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:27:46,586: INFO: app]: ID card type selected: PAN
[2024-05-31 00:27:46,586: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:27:46,588: INFO: app]: Face image loaded.
[2024-05-31 00:27:46,593: INFO: app]: ID card image loaded.
[2024-05-31 00:27:46,600: INFO: preprocess]: contours are found at, (0, 0, 519, 341)
[2024-05-31 00:27:46,600: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\contour_id.jpg
[2024-05-31 00:27:46,606: INFO: app]: ID card ROI extracted.
[2024-05-31 00:27:48,732: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-05-31 00:27:48,733: INFO: app]: Faces extracted and saved.
[2024-05-31 00:27:48,733: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:27:48,733: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\extracted_face.jpg
[2024-05-31 00:27:51,162: INFO: app]: Face verification status: failed.
[2024-05-31 00:29:53,527: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:29:53,528: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:29:53,529: INFO: app]: ID card type selected: PAN
[2024-05-31 00:29:53,529: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:30:12,097: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:30:12,097: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:30:12,098: INFO: app]: ID card type selected: PAN
[2024-05-31 00:30:12,098: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:30:12,100: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-05-31 00:30:12,101: INFO: app]: Face image loaded.
[2024-05-31 00:30:12,101: ERROR: app]: No face image uploaded.
[2024-05-31 00:30:18,772: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:30:18,773: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:30:18,774: INFO: app]: ID card type selected: PAN
[2024-05-31 00:30:18,774: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:30:18,775: INFO: app]: Face image loaded.
[2024-05-31 00:30:18,778: INFO: app]: ID card image loaded.
[2024-05-31 00:30:18,779: INFO: preprocess]: contours are found at, (0, 0, 528, 352)
[2024-05-31 00:30:18,780: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\contour_id.jpg
[2024-05-31 00:30:18,783: INFO: app]: ID card ROI extracted.
[2024-05-31 00:30:18,836: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:30:18,837: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-05-31 00:30:18,837: INFO: app]: Faces extracted and saved.
[2024-05-31 00:30:18,837: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:30:18,838: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\extracted_face.jpg
[2024-05-31 00:30:19,141: INFO: app]: Face verification status: successful.
[2024-05-31 00:30:19,141: INFO: ocr_engine]: Text Extraction Started...
[2024-05-31 00:30:19,148: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2024-05-31 00:30:20,705: INFO: ocr_engine]: Inside Try-Catch...
